event_name,supplier_id,supplier_name,score,confidence_score,match_sentence,mentioned_org,mentioned_other_org,index_events,properties_other_mentioned_org,uuid_org
Layoff,1139,Cox Auto,40,65.3302714,"[' Cox Automotive in Kent to furlough  123 employees | Update', 'That was before Cox Automotive announced it would furlough 12,500 of its own workers because of plunging demand']",['Cox Automotive'],[],14,,806c6f1b-d2f6-2e30-929f-fd7c4148c0e8
Layoff,1,VMWare,60,83.57872107,"['On Jan. 25 the California Employment Development Department disclosed that VMware had cut  159 people in the Palo Alto office earlier in January', 'CRN reported that VMware recently laid off  hundreds of workers in what the company called ""a workforce rebalancing "" VMware reported net income of $621 million or $1.50 a share or adjusted earnings of $1.49 a share on sales of $2.46 billion up from $2.2 billion a year ago', 'On Jan. 25 the California Employment Development Department disclosed that VMware had cut  159 people in the Palo Alto office earlier in January']","['the California Employment Development Department', 'VMware', 'CRN']","['the California Employment Development Department', 'CRN']",15,"the California Employment Development Department,CRN",fb1e0239-94df-a94c-56d9-28956a629ed9
Layoff,1087,Costco (Inactive - Use CDN- Costco (US and CDN)),40,81.81082086,['On April 6 -- about a month after Costco ended samples -- CDS shut down and laid off  thousands of employees'],['Costco'],['Costco'],16,Costco,a9daffa0-3afb-cb98-f5ee-4cca007df5d9
Bankruptcy,576,Google Inc.,50,54.6771906,['Anthony Levandowski ’s plea agreement with prosecutors filed March 19 in federal court in San Francisco comes two weeks after a civil dispute with Google drove him to file for bankruptcy'],['Google'],[],17,,50391bfa-51aa-470f-e2b0-d27da79f4afa
Layoff,748,NEW RELIC,40,65.35572704,[' New Relic Inc. today disclosed plans to lay off 7% of its workforce or about 160 employees as part of an effort to adopt a new business model that emphasizes selling software priced according to customer usage'],['New Relic Inc'],['New Relic Inc'],18,New Relic Inc,8e5825f9-25dd-1ed2-8171-41255fc8c0ea
Bankruptcy,679,"LSC Communications Inc. US, LLC",50,52.00209234,['In a move to strengthen its liquidity and improve its capital structure multinational commercial printing company LSC Communications along with most of its US subsidiaries has voluntarily filed for Chapter 11 bankruptcy'],['LSC Communications'],[],19,,ab8b5236-f623-4523-a3b9-5aaa59f57643
Layoff,961,THOMSON REUTERS Real Time FX Feed (Capital Markets),80,53.70047683,"[' Thomson Reuters executives said that they aimed to cut discretionary expenses while nearly all the company’s own 24,000 employees have been working remotely during the outbreak', ' Thomson Reuters executives said that they aimed to cut discretionary expenses while nearly all the company’s own 24,000 employees have been working remotely during the outbreak']",['Thomson Reuters'],['Thomson Reuters'],20,Thomson Reuters,152178e0-3c34-a2a7-abf0-68fc0a7f5997
Layoff,705,Microsoft - UK,40,67.91861528,"[' Microsoft News just cut dozens of editorial workers as it shifts to an AI-driven system of picking stories', ' Microsoft is laying off dozens of journalists and editorial workers at its Microsoft News and MSN organizations', 'The Future Is Now Microsoft  Lays Off  Workers to Use Artificial Intelligence']","['Microsoft', 'Microsoft News', 'MSN']",['MSN'],21,MSN,b25b3682-07f9-d84b-b1cf-54b63f1b2e81
Layoff,766,"Opus Global, Inc.",40,59.34869615,['The hotel chain owned by Opus Global a holding company linked to Lőrinc Mészáros a businessman close to the Hungarian prime minister will lay off  more than 50 percent of employees she said'],['Opus Global'],[],22,,58d16baf-6b90-4403-a2e0-9eb78a355ef5
Layoff,529,FIREEYE,80,76.30872372,"['• FireEye is laying off  about 6 percent of its staff CEO Kevin Mandia disclosed on the company’s April 28 earnings call', '• FireEye is laying off  about 6 percent of its staff CEO Kevin Mandia disclosed on the company’s April 28 earnings call']",['FireEye'],['FireEye'],23,FireEye,b82b5250-4894-e935-a2e8-10e1e4cee0f9
Bankruptcy,97,Neiman Marcus,50,71.03488364,"['This sale might seem weirdly timed given Neiman Marcus is most likely filing for bankruptcy this week', 'Dallas -based Neiman Marcus which is also preparing to seek bankruptcy protection will enable prospects to collect online orders gift cards and alterations via curbside pick-up at all Neiman and Last Call places in Texas', 'It might have been better for Neiman Marcus to have done this sooner filing for bankruptcy before it found itself in the midst of global crisis during which it’s anybody’s guess when retail stores will do anything like normal business again']","['Last Call', 'Neiman Marcus', 'Neiman']",['Last Call'],24,Last Call,47e1fff1-b9da-5901-dea2-124087ef1ba3
Bankruptcy,195,Ascena Retail Group,100,82.42252557,['A number including J.C. Penney and Ann Taylor parent Ascena Retail Group have filed for bankruptcy protection this year'],"['Ann Taylor', 'JC Penney', 'Ascena Retail Group']","['Ann Taylor', 'JC Penney']",25,"Ann Taylor,JC Penney",d6232010-dad0-e9dc-2262-b38d7a29d811
Layoff,529,FIREEYE,67,56.770371,"[' FireEye to cut  US$25M of costs via 6 percent staff reduction', ' FireEye To Cut $25M Of Costs Via 6 Percent Staff Reduction', ' FireEye is laying off about 6 percent of its staff — though the cybersecurity company’s shift toward platform cloud subscription managed security and Mandiant consulting services continues to accelerate CEO Kevin Mandia asserts']","['Mandiant', 'FireEye']","['Mandiant', 'FireEye']",26,"Mandiant,FireEye",b82b5250-4894-e935-a2e8-10e1e4cee0f9
Layoff,560,General Motors,40,61.33964393,"['In March General Motors issued 20% pay cuts to corporate employees and reduced pay to its manufacturing staff by 25% including workers at its now-quiet plant in Spring Hill', 'Rapson lived in Clayton Township and was credited by some for protecting as many General Motors jobs and facilities as possible in the area at a time when the company cut  tens of thousands of factory jobs nationwide and teetered on the edge of bankruptcy']",['General Motors'],[],27,,5087a047-80c5-4aa3-dfdf-30dd8ac88b5e
Layoff,353,CISCO,40,53.70276008,"[' Cisco Hitachi cut  hundreds of jobs ; Nokia CEO walked the plank; AT&T slashed jobs; plus the latest headcount hirings promotions and staff changes', 'At Cisco ’s Restaurant Bakery & Bar the venerable landmark is doing takeout and delivery but had to lay off all but a quarter of its staff']","['Nokia', 'Hitachi', 'Cisco']","['Nokia', 'Hitachi', 'Cisco']",28,"Nokia,Hitachi,Cisco",e0906c05-fae5-9591-ba5f-2142d8b0065a
Bankruptcy,548,FRONTIER COMMUNICATIONS CORPORATION,75,55.3091127,"[' Frontier Communications a telecommunications company filed for bankruptcy protection last week on April 21st following an announcement the previous month that it would have to skip issuing coupon bond payments that were due on March 15th', 'While the future may be bright for Ziply the same is not the case for Frontier Communications which filed for bankruptcy protection on April 14']","['Ziply', 'Frontier Communications']","['Ziply', 'Frontier Communications']",29,"Ziply,Frontier Communications",90eba7fe-ddbd-e043-67f8-bdfa0710bfd6
Layoff,1,VMWare,40,79.40919436,['However CRN reports that VMware  laid off  several hundred employees globally'],"['CRN', 'VMware']",['CRN'],30,CRN,fb1e0239-94df-a94c-56d9-28956a629ed9
Layoff,447,DEUTSCHE BANK,40,61.90929732,"[' Deutsche Bank said last year that it expects to cut  around 18,000 jobs some 20% of its global total and create a so-called ""bad bank"" for around €74 billion in under-performing assets as part of the restructuring', ' Deutsche Bank which last year announced plans to cut  18,000 jobs is scaling back its art-collecting activities and has sold some key works as wall space in its global premises declines']",['Deutsche Bank'],['Deutsche Bank'],31,Deutsche Bank,e649d0c7-3f41-e2c0-03b7-867ab82fb8d2
Layoff,1053,YELP INC,40,87.86317763,"['Related Last week Yelp announced plans to cut or furlough about 2,100 jobs', ' Yelp plans on laying off  1,000 employees and furloughing 1,100 more in response to COVID- 19', 'In a letter to employees on Apr 9 Yelp co-founder and CEO Jeremy Stoppelman revealed that the company has decided to lay off  1,000 workers and furlough more than 1,100 staff representing about 17% of its total workforce']",['Yelp'],['Yelp'],32,Yelp,359a4a11-5201-3d7d-f7e1-3ac745fbf265
Layoff,348,Chesapeake,67,87.30388959,"['( Reuters ) - Chesapeake Energy Corp the debt-laden shale producer has laid off  200 employees in Oklahoma the state said on Thursday', ' Chesapeake Energy ( NYSE CHK ) laid off  200 workers in Oklahoma on Wednesday half in the Oklahoma City headquarters and half in the oil field', 'Cash-strapped Chesapeake Energy has laid off  200 employees in the state of Oklahoma according to a report']","['Reuters', 'Chesapeake Energy', 'Chesapeake Energy Corp', 'Chesapeake Energy NYSE']",['Reuters'],33,Reuters,4a6056f8-a0b6-4bac-b025-2a962a0bd5a2
Layoff,815,Primeritus,40,83.06997299,['Nashville -based Primeritus Financial Services Inc. has laid off  148 employees'],['Primeritus Financial Services Inc'],['Primeritus Financial Services Inc'],34,Primeritus Financial Services Inc,72027024-b8c1-c99f-78c1-c8964e1e4062
Layoff,720,Moody's Analytics (Lending Cloud fka WebEquity Solutions),40,72.04313428,"[""ADP and Moody's Analytics reported on Wednesday that companies reduced payrolls by 20.236 million in through mid-April as the worst of the coronavirus-induced economic freeze began claiming vast numbers of full and part-time positions""]","['Moodys Analytics', 'ADP']","['Moodys Analytics', 'ADP']",35,"Moodys Analytics,ADP",27b7a483-5013-48b5-9bcf-e35f375b6c80
Layoff,57,Teleperformance USA,40,70.50502072,"['French BPO giant Teleperformance has reportedly laid off  3,000 employees in India less than 5% of the company’s total workforce in the South Asian country', 'So far some business process management firms such as Fareportal and Teleperformance have laid off a few hundred employees']","['Fareportal', 'Teleperformance']",['Fareportal'],36,Fareportal,2a46bc32-c289-a0ca-21db-c048530690f2
Bankruptcy,548,FRONTIER COMMUNICATIONS CORPORATION,50,57.69044877,"[' Frontier Communications  filed for bankruptcy on April 14 to start a prearranged $10 billion debt-cutting proposal backed by its largest bondholders', ' Frontier Communications  filed for bankruptcy on April 14 to start a prearranged $10 billion debt-cutting proposal backed by its largest bondholders']",['Frontier Communications'],['Frontier Communications'],37,Frontier Communications,90eba7fe-ddbd-e043-67f8-bdfa0710bfd6
Layoff,136,Accenture (HR),80,51.99692271,['Giant advisory firms including Deloitte KPMG and Accenture have laid off  thousands of workers and some consultancies like Ernst & Young previously deferred promotions and performance bonuses for employees'],"['Accenture', 'Deloitte KPMG', 'Ernst Young']","['Deloitte KPMG', 'Ernst Young']",38,"Deloitte KPMG,Ernst Young",0d5171b3-68b3-37c3-cb50-8cd8ccb8930b
Layoff,447,DEUTSCHE BANK,40,77.65099935,"[' Deutsche Bank to cut one in three jobs at retail banking hubs - document', ' Deutsche Bank in the midst of laying off  about 18,000 people pivoted from its disastrous tax strategy and now says most of its employees may permanently work from home two days a week according to Bloomberg']","['Bloomberg', 'Deutsche Bank']","['Bloomberg', 'Deutsche Bank']",39,"Bloomberg,Deutsche Bank",e649d0c7-3f41-e2c0-03b7-867ab82fb8d2
Layoff,903,Societe Generale,40,56.26410374,"[' Societe Generale to Cut  640 Jobs Mostly at Investment Bank', ' Societe Generale is cutting  640 jobs within its investment bank in France as part of a broader plan to restructure its equity derivatives unit after a period of poor performance', ' Societe Generale will cut  more than 600 jobs in France under plans to restructure and cut costs across its credit and equity derivatives structured business following huge losses earlier this year', ' Societe Generale to Cut  650 Jobs in France | Finance Magnates', ' Societe Generale to Cut  640 Jobs Mostly at Investment Bank']","['Societe Generale', 'Investment Bank']",['Investment Bank'],40,Investment Bank,152b9184-5cc9-fd83-b532-807e78053c4a
Layoff,30,IBM,40,83.88524276,"['As a result IBM has laid off between 50,000 and 100,000 employees – a little under a third of its global workforce – while aggressively hiring as well']",['IBM'],[],41,,fc5fbe7a-562d-d577-b05e-46797caa134c
Layoff,420,CVent,40,50.01623754,['But with hotels restaurants and event venues being closed for months now Cvent said it had to cut its headcount'],['Cvent'],[],42,,30be31c8-67a8-2cb5-2668-2e988f0130f8
Bankruptcy,97,Neiman Marcus,50,92.29141428,"['Founded in 1907 in Dallas Neiman Marcus  filed for bankruptcy earlier this season', ' Neiman Marcus  filed for bankruptcy protection back in May', ' Neiman Marcus is working to reorganize itself after filing for Chapter 11 bankruptcy in May', ' Neiman Marcus is working to reorganize itself after filing for Chapter 11 bankruptcy in May', 'Lord & Taylor J.C. Penney and Neiman Marcus all filed for bankruptcy', 'From J.C. Penney to J Crew to Neiman Marcus several brick-and-mortar retailers have filed for bankruptcy this year prompting investors to flee for the exits', 'Lord & Taylor recently announced it would be closing all its stores after 194 years in business Neiman Marcus  filed for bankruptcy in early May and Brooks Brothers which considers itself ""the country\'s oldest clothing retailer "" sought Chapter 11 bankruptcy court protection while it searches for a buyer', ' Neiman Marcus  filed for bankruptcy in May 2020', 'Meanwhile longstanding mall tenants like J.C. Penney Nordstrom and Neiman Marcus are closing stores or filing for bankruptcy', ' Neiman Marcus which furloughed 14,000 employees sought $10 million in bankruptcy bonuses for its CEO and other top managers', 'The attorney’s office says that Kamensky ’s fund Marble Ridge which specializes in investments into distressed situations including bankruptcies and had assets under management of more than $1 billion as of early 2020 was appointed onto a committee on unsecured creditors for Neiman Marcus shortly after the retailer declared  bankruptcy in May of 2020', ' Neiman Marcus  Files For Bankruptcy Felled By Store Closures And Too Much Debt ( Forbes', ' Neiman Marcus which furloughed 14,000 employees sought $10 million in bankruptcy bonuses for its CEO and other top managers', 'Last week Neiman Marcus filed a lawsuit against Marble Ridge Capital suing for more than $60 million in damages and to block the winding down of its funds the Wall Street Journal reported Neiman Marcus  filed for bankruptcy in May 2020', ""CNBC 's Kate Rogers joins 'Closing Bell' to report Neiman Marcus has received court approval for filing Chapter 11 bankruptcy indicating that the luxury retailer would eliminate about $4 billion dollars in debt"", ' Neiman Marcus  filed for bankruptcy in May 2020']","['CNBC', 'Brooks Brothers', 'JC Penney', 'J Crew', 'Neiman Marcus', 'Closing Bell', 'Marble Ridge', 'the Wall Street Journal', 'Marble Ridge Capital', 'JC Penney Nordstrom']","['CNBC', 'Brooks Brothers', 'JC Penney', 'J Crew', 'Closing Bell', 'Marble Ridge', 'the Wall Street Journal', 'Marble Ridge Capital', 'JC Penney Nordstrom']",43,"CNBC,Brooks Brothers,JC Penney,J Crew,Closing Bell,Marble Ridge,the Wall Street Journal,Marble Ridge Capital,JC Penney Nordstrom",47e1fff1-b9da-5901-dea2-124087ef1ba3
Bankruptcy,97,Neiman Marcus,50,91.91316692,"['Luxury department store Neiman Marcus which filed for Chapter 11 bankruptcy back in May announced in court filings that it will close its Hudson Yards retail location a massive 250,000-square-foot space in New York City', 'In April the department store chain Neiman Marcus became the latest retailer to file for bankruptcy', 'MyTheresa had appreciated to $976 million by the time Neiman Marcus  filed for bankruptcy according to the creditors’ report', 'Major retailers including JC Penney and Neiman Marcus have filed for bankruptcy', 'Major retailers including JC Penney and Neiman Marcus have filed for bankruptcy', 'That transaction saw Neiman Marcus – which filed for Chapter 11 bankruptcy in May – transfer its European e-commerce division namely MyTheresa to an unrestricted subsidiary in 2017', 'MyTheresa had appreciated to $976 million by the time Neiman Marcus  filed for bankruptcy according to the creditors’ report', 'Under pressure caused by pandemic-induced lockdowns J.C. Penney and Neiman Marcus are the latest distressed mall anchors to declare  bankruptcy and close stores', 'Cut to not even two years later and Neiman Marcus has filed for bankruptcy and announced its intention to close the Hudson Yards location permanently', ' Neiman Marcus initially filed for Chapter 11 bankruptcy in May 2020', 'MyTheresa had appreciated to $976 million by the time Neiman Marcus  filed for bankruptcy according to the creditors’ report', 'The luxury retailer Neiman Marcus could soon declare  bankruptcy according to media reports']","['MyTheresa', 'Neiman Marcus', 'JC Penney']","['MyTheresa', 'JC Penney']",44,"MyTheresa,JC Penney",47e1fff1-b9da-5901-dea2-124087ef1ba3
Layoff,834,Rackspace,40,64.35347704,['In the process Rackspace  laid off  200 employees'],['Rackspace'],[],45,,545431fb-8c10-7fdd-e6be-2efd4048c558
Layoff,1196,"PayPal, Inc.",40,57.21800512,['— PayPal is cutting  56 jobs at one of its sites in north San Jose'],['PayPal'],[],46,,aeae42a1-3e5d-4496-82f4-3182afbb32f0
Bankruptcy,1091,Lord & Taylor (Inactive - Use Hudsons Bay (US and CDN)),50,67.94865096,"['Crossgates which is owned by Pyramid Cos. of Syracuse is suing over $594,407 in back rent and says that Lord & Taylor which has filed for bankruptcy will be breaking its lease when it closes its store in December', 'Crossgates which is owned by Pyramid Cos. of Syracuse is suing over $594,407 in back rent and says that Lord & Taylor which has filed for bankruptcy will be breaking its lease when it closes its store in December', 'Crossgates which is owned by Pyramid Cos. of Syracuse is suing over $594,407 in back rent and says that Lord & Taylor which has filed for bankruptcy will be breaking its lease when it closes its store in December']","['Lord Taylor', 'Pyramid Cos of Syracuse', 'Crossgates']","['Lord Taylor', 'Pyramid Cos of Syracuse', 'Crossgates']",47,"Lord Taylor,Pyramid Cos of Syracuse,Crossgates",abebf617-5d62-64f0-481c-803909366a00
Layoff,44,Wells Fargo,40,66.42146568,['In a blow to its local workforce financial giant Wells Fargo is cutting  hundreds of jobs from its Innsbrook hub as it looks to move those positions to other locales'],['Wells Fargo'],[],48,,3e683191-c38b-5166-9ae3-8bfc3b975859
Layoff,1019,Virgin Money PLC - UK,40,83.44148242,['That week Upper Crust owner SSP cut 5000 employees with Harrods TM Lewin and Virgin Money also putting out statements about cuts to staff'],"['Harrods TM Lewin', 'SSP', 'Virgin Money']","['Harrods TM Lewin', 'SSP']",49,"Harrods TM Lewin,SSP",5117844c-573d-48cd-9c4f-5b3564f1f778
Layoff,1139,Cox Auto,40,77.87222655,"[' Cox Automotive  cuts  1,600 jobs in North America', ' Cox Automotive  cuts  approximately 1,600 positions in the US & Canada', "" Cox Automotive  Cuts  Staff Focuses on 'Digital Services'"", ' Cox Automotive  cuts another 1,600 positions', ' Cox Automotive  cuts  1,600 jobs in North America']",['Cox Automotive'],[],50,,806c6f1b-d2f6-2e30-929f-fd7c4148c0e8
Layoff,201,AT&T,40,51.77756589,"['Because of this AT&T will probably cut tens of thousands of jobs at the studio', 'Because of this AT&T will probably cut tens of thousands of jobs at the studio']",['ATT'],[],51,,5da6106f-0d27-0d37-e9d7-dcfeccc1f709
Layoff,1452,"Uber Technologies, Inc.",40,58.0076862,['Ride-hailing platform Uber  let go of about two hundred of its employees in Amsterdam coercing many into signing a severance deal that would give them monetary compensation in return for their resignation'],['Uber'],['Uber'],52,Uber,5e2a0e51-feb9-405b-ae77-e214b18b19b4
Layoff,201,AT&T,40,68.81056187,"['Tech news site LightReading reports that AT&T  cut “ nearly 9,000 jobs ” between June and September as part of a plan to cut nearly $6 billion']","['ATT', 'LightReading']",['LightReading'],53,LightReading,5da6106f-0d27-0d37-e9d7-dcfeccc1f709
Bankruptcy,195,Ascena Retail Group,50,77.28595126,"['Last month Ascena Retail Group  filed  bankruptcy and announced hundreds of store closings including Catherines Lane Bryant and Justice locations in Lincoln', 'Last month Ascena Retail Group  filed  bankruptcy and announced hundreds of store closings including Catherines Lane Bryant and Justice locations in Lincoln', 'Crew J.C. Penney Neiman Marcus Stage Stores and Ascena Retail Group have all filed  bankruptcy this year', 'Justice — The children’s clothing store chain is closing its Destiny location after its parent Ascena Retail Group  filed for Chapter 11 bankruptcy protection in July', 'Last week Ascena Retail Group  filed for bankruptcy and announced it will close locations in Grand Forks', ' Ascena Retail Group  filed for bankruptcy July 23 when it said it planned to close 1,600 of is roughly 2,800 stores in an attempt to shed $1 billion in debt', 'Lane Bryant ’s parent company Ascena Retail Group  filed for Chapter 11 bankruptcy last month', 'It’s a nice place to hang out though she may not work there much longer Ann Taylor ’s parent company Ascena Retail Group Inc. just filed for bankruptcy so the Mall of San Juan could be looking at another vacancy soon', 'The store’s parent company Ascena Retail Group  filed for bankruptcy last month as The Bee reported July 23', 'It’s a nice place to hang out though she may not work there much longer Ann Taylor ’s parent company Ascena Retail Group Inc. just filed for bankruptcy so the Mall of San Juan could be looking at another vacancy soon', 'Lane Bryant ’s parent company Ascena Retail Group  filed for Chapter 11 bankruptcy last month', 'The store’s parent company Ascena Retail Group  filed for bankruptcy last month as The Bee reported July 23', 'The store’s parent company Ascena Retail Group  filed for bankruptcy last month as The Bee reported July 23', 'The parent company of Ann Taylor and Loft Ascena Retail Group  filed for Chapter 11 bankruptcy protection on July 23 listing more than $1 billion in liabilities']","['Lane Bryant ’s', 'Justice', 'Ascena Retail Group', 'Ascena Retail Group Inc', 'Loft Ascena Retail Group', 'the Mall of San Juan', 'Neiman Marcus Stage Stores', 'Crew JC', 'Destiny', 'Bee', 'The Bee', 'Catherines Lane Bryant']","['Lane Bryant ’s', 'Justice', 'the Mall of San Juan', 'Neiman Marcus Stage Stores', 'Crew JC', 'Destiny', 'Bee', 'The Bee', 'Catherines Lane Bryant']",54,"Lane Bryant ’s,Justice,the Mall of San Juan,Neiman Marcus Stage Stores,Crew JC,Destiny,Bee,The Bee,Catherines Lane Bryant",d6232010-dad0-e9dc-2262-b38d7a29d811
Bankruptcy,97,Neiman Marcus,50,71.05756128,"[' Neiman Marcus  filed for bankruptcy in early May and announced they would be shuttering half of their stores', 'Companies struggled with mounting debt leading some big players in the industry — like JCPenney and Neiman Marcus — to file for bankruptcy protection', 'Companies struggled with mounting debt leading some big players in the industry — like JCPenney and Neiman Marcus — to file for bankruptcy protection']","['Neiman Marcus', 'JCPenney']",['JCPenney'],55,JCPenney,47e1fff1-b9da-5901-dea2-124087ef1ba3
Layoff,44,Wells Fargo,40,75.19024163,"['In recent weeks Wells Fargo  cut  more than 700 commercial-banking jobs and dozens of fixed-income research analysts', 'In recent weeks Wells Fargo  cut  more than 700 commercial-banking jobs and dozens of fixed-income research analysts']",['Wells Fargo'],[],56,,3e683191-c38b-5166-9ae3-8bfc3b975859
Layoff,1341,Apple Inc.,80,66.60431539,['In January 2019 Apple  laid off  200 employees from the project then went on to acquire the self-driving startup Drive.ai in June'],"['Driveai', 'Apple']",['Driveai'],57,Driveai,2d62fec3-1058-462f-a244-02e3ce3c34a0
Layoff,560,General Motors,60,58.67767979,"['SAO PAULO ( Reuters ) - General Motors Co said on Friday it would furlough  all workers at one of its Brazil plants for 20 days in March for maintenance and updating of factory lines leading to a suspension in production', ' General Motors To Furlough  Workers in Brazil Plant for 20 Days']","['General Motors', 'Reuters', 'General Motors Co']",['Reuters'],58,Reuters,5087a047-80c5-4aa3-dfdf-30dd8ac88b5e
Layoff,981,TSYS-Total System Services - UK,40,74.4195163,"[' TSYS to cut  109 staff in Northern Ireland despite £556,000 public funding']",['TSYS'],['TSYS'],59,TSYS,3e678670-f849-5a07-92be-083d3cdd1e6d
Layoff,34,Conduent (fka Xerox ACS),40,62.81326137,"['I joined Xerox when we had laid off  15,000 people like the month before I joined the company']",['Xerox'],['Xerox'],60,Xerox,7ef1577a-8779-8044-4a42-669b796f8e4f
