uuid,properties.name,properties.identifier.permalink,properties.identifier.image_id,properties.identifier.uuid,properties.identifier.entity_def_id,properties.identifier.value,properties.primary_job_title,properties.description,properties.primary_organization.permalink,properties.primary_organization.image_id,properties.primary_organization.uuid,properties.primary_organization.entity_def_id,properties.primary_organization.value,properties.gender
0e5096e4-a557-4d80-bfd1-5b0ab5879a93,Sandeep Poonen,sandeep-poonen,lzqrkswxlwhipy15joov,0e5096e4-a557-4d80-bfd1-5b0ab5879a93,person,Sandeep Poonen,"Information Security Officer, Cloud Services","Sandeep serves as Information Security Officer for all VMware Cloud Services. He partners with engineering teams and executives to develop short- and long-term security, product and service strategies. Previously, he was West Coast Lead, GRC and Analytics at PwC. There, he solved clients' security challenges such as open vulnerabilities, segregation of duties issues, and access violations through integration of best-in-class security objectives into business processes without affecting operational efficiency.",vmware,qxriqfhypeuyosqwritt,fb1e0239-94df-a94c-56d9-28956a629ed9,organization,VMware,male
676b4099-7fb7-7caa-fc86-c3010f06fa58,Sumit Dhawan,sumit-dhawan,v1485750802/q59ynexxwlsdmcze1zpi.png,676b4099-7fb7-7caa-fc86-c3010f06fa58,person,Sumit Dhawan,President,Sumit Dhawan is the President of VMware. Attended Stanford University Graduate School of Business.,vmware,qxriqfhypeuyosqwritt,fb1e0239-94df-a94c-56d9-28956a629ed9,organization,VMware,male
26989c99-3c83-51cf-61f1-0e57b2d48e19,Kit Colbert,kit-colbert,v1433995352/hsvsy0m4arlfihqcuwt2.png,26989c99-3c83-51cf-61f1-0e57b2d48e19,person,Kit Colbert,Chief Technology Officer,Kit Colbert is the Chief Technology Officer at VMware. He attended Brown University.,vmware,qxriqfhypeuyosqwritt,fb1e0239-94df-a94c-56d9-28956a629ed9,organization,VMware,male
25e330b2-b303-f0ff-3a58-3214d9233e5b,Tanya Shastri,tanya-shastri,,25e330b2-b303-f0ff-3a58-3214d9233e5b,person,Tanya Shastri,"Vice President of Products,",Tanya Shastri is the Vice President of Products at VMware.,vmware,qxriqfhypeuyosqwritt,fb1e0239-94df-a94c-56d9-28956a629ed9,organization,VMware,female
562c34a2-31aa-b5fe-7b6f-a19507de823f,Tom Gillis,tom-gillis,v1414010993/j49xwntjeldsoiz8rowp.jpg,562c34a2-31aa-b5fe-7b6f-a19507de823f,person,Tom Gillis,"Senior Vice President and General Manager, Network and Security","Tom Gillis is CEO of Bracket Computing, a company he founded in December 2011. Gillis started Bracket with a vision to re-imagine enterprise computing. Before starting Bracket, Gillis was VP/GM of the Security Technology Group at Cisco Systems. This Technology Group included the business units responsible for Cisco's entire Network and Content Security product portfolio, including firewalls, IPS, VPN, and email security and web security gateways. Prior to Cisco, Tom was VP of Marketing and part if the founding team of IronPort Systems which was acquired by Cisco in 2007. Before that, he held the position of VP/GM at iBEAM Broadcasting, an Internet start up that wentpublic on NASDAQ. He has also worked at Silicon Graphics, the Boston Consulting Group, and Raytheon Corporation. Gillis received a BSEE from Tufts, an MSEEfrom Northwestern, and an MBA from Harvard.",vmware,qxriqfhypeuyosqwritt,fb1e0239-94df-a94c-56d9-28956a629ed9,organization,VMware,male
9378d286-410e-a37c-e903-41a4a14fb50c,Ricky Cooper,ricky-cooper,v1434621357/ermm5abem12jggrn1jf1.png,9378d286-410e-a37c-e903-41a4a14fb50c,person,Ricky Cooper,WW Vice President & GM,Ricky Cooper is the Vice President & GM WW DSAT at VMware. He attended the University of Oxford.,vmware,qxriqfhypeuyosqwritt,fb1e0239-94df-a94c-56d9-28956a629ed9,organization,VMware,male
9a872490-624a-b98b-e29e-aa6dcf9871af,Pere Monclus,pere-monclus,v1436784764/qmxg1cs2csdymofrvlwx.png,9a872490-624a-b98b-e29e-aa6dcf9871af,person,Pere Monclus,VP & CTO Network and Security BU,"Pere Monclus is the VP & CTO of Network and Security BU at VMware. Additionally, Pere Monclus has had 1 past job as the Founder and CTO at PLUMgrid.",vmware,qxriqfhypeuyosqwritt,fb1e0239-94df-a94c-56d9-28956a629ed9,organization,VMware,male
3f9d3a36-4ca3-4d63-f17e-a59875b51a34,Shiv Agarwal,shiv-agarwal-2,v1415650350/kbxubxwnggi5ng2pfqfn.jpg,3f9d3a36-4ca3-4d63-f17e-a59875b51a34,person,Shiv Agarwal,VP/GM,Shiv Agarwal is the VP and GM at VMware. He attended The Wharton School.,vmware,qxriqfhypeuyosqwritt,fb1e0239-94df-a94c-56d9-28956a629ed9,organization,VMware,male
b8ea2f60-dcb5-f4ea-d790-1b6666f3e14e,Andrew Dutton,andrew-dutton,v1397184800/3e034ef11519b962cb93bf2553debf13.jpg,b8ea2f60-dcb5-f4ea-d790-1b6666f3e14e,person,Andrew Dutton,Senior Vice President and General Manager VMware Asia Pacific & Japan,"Andrew Dutton leads VMware’s Asia Pacific and Japan region as Senior Vice President and General Manager. Andrew is responsible for strategic planning, business development and management of key functions for the region, including sales, channels, services, finance and marketing.

Andrew brings more than 28 years of global management and sales experience across various industries, including IT and financial services. Prior to VMware, Andrew was at Computer Associates (CA) where he was Senior Vice President and General Manager of International Business, responsible for sales and business operations throughout the Europe, Middle East & Africa (EMEA) and Asia Pacific & Japan (APJ) regions.

Prior to CA, Andrew was Senior Vice President and General Manager for BEA Systems EMEA. Earlier, Andrew spent 17 years at IBM in several different senior management positions. As Vice President and General Manager for IBM Software Group Asia Pacific based in Tokyo, Andrew had responsibility for more than 3,000 software sales, marketing and support personnel across the region.

Andrew holds a Bachelor of Science degree from Sydney University.",vmware,qxriqfhypeuyosqwritt,fb1e0239-94df-a94c-56d9-28956a629ed9,organization,VMware,male
f1e7716b-93a9-471f-b5bd-ea4db4dcbacb,Kathy Chou,kathy-chou,ha1pt2bjq74onxgif1y3,f1e7716b-93a9-471f-b5bd-ea4db4dcbacb,person,Kathy Chou,"VP, R&D Operations and Central Services","Kathy Chou is VP of Research & Development Operations and Central Services for VMware. Chou has more than 25 years of operations and management experience in the high-tech industry. Previously, she has served as SVP of Sales Strategy and Operations for Informatica, VP of Sales Operations and Strategy at Intuit and spent 18 years at HP in various management roles. Chou holds a bachelor’s degree in mechanical engineering and a master’s degree in manufacturing systems engineering from Stanford University, and an MBA from the Harvard Graduate School of Business. She most recently served on the Stanford Presidential Search Committee, has chaired the Stanford Alumni Committee on Trustee Nominations and served on the Alumni Association Board of Directors. She is currently Vice Chair for the Stanford Institute for Research in Social Sciences (IRISS), development director for the Asian Pacific Fund, member of the Santa Clara University Board of Regents and Engineering Advisory Board. Kathy received the Stanford Medal in 2013, Wise Woman Award from Deloitte LLP in 2011, and was the Winner of the Franz Edelman Award for excellence in Operations Research in 2009. The Silicon Valley Business Journal selected her as one of the Top 100 most influential women in 2011. Chou lives in the San Francisco Bay Area with her husband and four sons.",vmware,qxriqfhypeuyosqwritt,fb1e0239-94df-a94c-56d9-28956a629ed9,organization,VMware,female
29a55316-6082-5766-87ae-905557e2a1d6,Chris Wolf,chris-wolf,v1440256329/ffnngmptpfayxba3jg3b.png,29a55316-6082-5766-87ae-905557e2a1d6,person,Chris Wolf,Chief Research and Innovation Officer,"Chris Wolf is the CTO, Americas at VMware. Chris serves as a partner and trusted adviser to VMware's customers in the Americas, and also collaborates with the IT and business community at large on cloud, mobile, virtualization and data center modernization strategies. Chris and his peers in the Office of the CTO work closely with VMware's product teams to ensure that VMware's future innovations align with essential market needs.",vmware,qxriqfhypeuyosqwritt,fb1e0239-94df-a94c-56d9-28956a629ed9,organization,VMware,male
1635b5d6-938f-4b46-8bfa-5bc295455512,Ajay Patel,ajay-patel-5512,y4axwxubmhvvebb8a4ac,1635b5d6-938f-4b46-8bfa-5bc295455512,person,Ajay Patel,SVP/GM Cloud Provider,"Ajay Patel is senior vice president of Product Development, Cloud Services, responsible for all product development and operations for vCloud Air.

 

Prior to VMware, Ajay led the core middleware business, Cloud Application Foundation, for Oracle. Under his leadership, Oracle Exalogic, a middleware engineered system, became the fastest-growing business and Oracle WebLogic, a Java EE Application Server, was #1 in the market during his entire tenure. He also launched Oracle Java Cloud Service and set the roadmap for Oracle’s private cloud solution.

 

Ajay has over 20 years of enterprise software expertise and was also senior vice president at Apigee (Sonoa Systems) and general manager for BEA Systems, Data Services business. His prior experience includes management consulting and system integration with Price Waterhouse Coopers, EDS and AT&T. He holds a Bachelors of Science in Electrical Engineering and another Bachelor of Science in Computer Science from University of California, Irvine. He is also a technical adviser to venture funded software companies.",vmware,qxriqfhypeuyosqwritt,fb1e0239-94df-a94c-56d9-28956a629ed9,organization,VMware,male
0db98ef9-10ce-ce85-0ca3-6f05874a4294,Allwyn Sequeira,allwyn-sequeira,sxdqcjpugidzxc64ovqe,0db98ef9-10ce-ce85-0ca3-6f05874a4294,person,Allwyn Sequeira,"SVP & GM, Hybrid Cloud Services BU",Allwyn Sequeira serves as senior vice president and general manager for Hybrid Cloud Services BU at VMware.,vmware,qxriqfhypeuyosqwritt,fb1e0239-94df-a94c-56d9-28956a629ed9,organization,VMware,male
60574a2c-4a17-d6c2-ccd6-ac781dcd4570,Andy Banks,andy-banks,v1444545358/qtk2sk08vrvfsjhrdwip.jpg,60574a2c-4a17-d6c2-ccd6-ac781dcd4570,person,Andy Banks,Vice President of Global Distribution,Andy Banks is a Vice President of Global Distribution at VMware.,vmware,qxriqfhypeuyosqwritt,fb1e0239-94df-a94c-56d9-28956a629ed9,organization,VMware,male
8fc2a134-8cbf-4ad9-a042-782b433a85c8,June Yang,june-yang,gdijosulfcb1uygksbjw,8fc2a134-8cbf-4ad9-a042-782b433a85c8,person,June Yang,"Vice President, Engineering and Product Management - VMware cloud on Dell EMC",June Yang serves as vice president of engineering and product management at VMware.,vmware,qxriqfhypeuyosqwritt,fb1e0239-94df-a94c-56d9-28956a629ed9,organization,VMware,female
c3e4a85c-1d13-bd0c-3b23-58893579986b,Sanjay Katyal,sanjay-katyal,v1461315816/lnbsccfydduwg6azxnpx.jpg,c3e4a85c-1d13-bd0c-3b23-58893579986b,person,Sanjay Katyal,"Global Vice President, Business Development and Partner Sales, Integrated Systems Business Unit",,vmware,qxriqfhypeuyosqwritt,fb1e0239-94df-a94c-56d9-28956a629ed9,organization,VMware,male
8134c8d4-b412-79ea-9f56-d43a90d2cfd1,Paul Turner,paul-turner-2,v1408481750/k3zri0mha0te23ygqm5o.jpg,8134c8d4-b412-79ea-9f56-d43a90d2cfd1,person,Paul Turner,Vice President Product Management vSphere,"Paul Turner is the Chief Marketing Officer at Cloudian Inc. since January 2014. Paul is responsible for marketing, product planning and strategy at Cloudian. 

A storage industry expert, Paul previously led the Product Strategy Office at NetApp, where he guided their investments into FlashRay, Iongrid and CacheIQ. 

Prior to that role, Paul was the General Manager of the OnCommand Insight Business (which included Onaro and Akorri). Under his leadership this enterprise software business grew to more than $60M and was recognized by Gartner as a leader in the Storage Resource Management market. 

Paul has more than 23 years of development and management leadership, including 15 years at Oracle where he led Oracle's Technology Alliances Division and their Support Engineering Team. 

Paul holds a Bachelor's degree in Computer Science from Trinity College, Dublin, Ireland and is based out of Cloudian's Foster City, Calif. headquarters.",vmware,qxriqfhypeuyosqwritt,fb1e0239-94df-a94c-56d9-28956a629ed9,organization,VMware,male
4da6f8f3-5363-44d8-bf6c-1c9f9181cc36,Hüseyin Dursun,hüseyin-dursun,k9droihuuufxamx3hnnv,4da6f8f3-5363-44d8-bf6c-1c9f9181cc36,person,Hüseyin Dursun,Vice President of Engineering & Head of VMware Engineering Services,Hüseyin Dursun is the Vice President of Engineering & Head of VMware Engineering Services at VMware.,vmware,qxriqfhypeuyosqwritt,fb1e0239-94df-a94c-56d9-28956a629ed9,organization,VMware,male
5ee7987b-bd47-b39c-d6e3-f3bcaf550328,Joe Baguley,joe-baguley,v1433420016/qo1m3oqdpv6kuxdqgily.png,5ee7987b-bd47-b39c-d6e3-f3bcaf550328,person,Joe Baguley,"Vice President and Chief Technology Officer, EMEA","Joe Baguley is VMware’s Vice President and Chief Technology Officer for EMEA. He joined VMware in July 2011 and helps develop and communicate VMware’s strategy and vision with customers and partners, using his wealth of experience to help organisations reduce costs and better support users and business needs. As part of VMware’s Office of the CTO and its representative in EMEA, Joe assists VMware’s customers in understanding how to use today’s advances in technology to deliver real business impact as well as working with them to inform VMware’s R&D processes.

Joe is a recognised leader within the European technical community and is considered one of the world’s most influential IT global leaders, currently positioned 26th on Tenfold’s global list of the top 79 Chief Technology Officers. He has played a key role in CloudCamp and other events, communicating how cloud technology fits into the broader IT landscape. He is a regular commentator on BBC World News, last appearing in January 2018 talking about edge computing with Aaron Heslehurst on Talking Business.

In addition, Joe is also on several advisory boards at the European Commission and ETSI and is a founding committee member of the Data Centre Specialist Group at the British Computer Society which helped shape the European Code of Conduct for Data Centres.
",vmware,qxriqfhypeuyosqwritt,fb1e0239-94df-a94c-56d9-28956a629ed9,organization,VMware,male
98e4cdfb-1ff8-46af-b61d-0d977912a7df,Ramkumar Narayanan,ramkumar-narayanan,jm1bz1ftoyzpzbx42mrc,98e4cdfb-1ff8-46af-b61d-0d977912a7df,person,Ramkumar Narayanan,VP Technology & Managing Site Director,Ramkumar Narayanan serves as the Vice President of Technology and Managing Site Director at VMware.,vmware,qxriqfhypeuyosqwritt,fb1e0239-94df-a94c-56d9-28956a629ed9,organization,VMware,male
92881a1c-4084-4e5c-a398-b9ff5400bfea,Shankar Iyer,shankar-iyer,bt3lpwnjittuezxzlipv,92881a1c-4084-4e5c-a398-b9ff5400bfea,person,Shankar Iyer,"SVP & GM, End User Computing",,vmware,qxriqfhypeuyosqwritt,fb1e0239-94df-a94c-56d9-28956a629ed9,organization,VMware,male
2deb1e0e-11fd-2a79-7d07-84b0297a6021,Constantine Polychronopoulos,constantine-polychronopoulos-ph-d,u8d1r7knk8mwms9mfcnw,2deb1e0e-11fd-2a79-7d07-84b0297a6021,person,Constantine Polychronopoulos,"VP and CTO, Telco/NFV","Constantine Polychronopoulos is Vice President and CTO of the Telco/NFV business unit at VMware driving the company’s innovations in the NFV, SDN and telco cloud infrastructure domains. Previously, he served as Vice President and CTO, at Citrix Systems responsible for the Bytemobile product line, the SDN/NFV strategy, and for the expansion of the Netscaler ADC, into the service provider markets. In 2000 he founded Bytemobile, Inc., the global leader in wireless network optimization and data services, which he grew to about 350 employees and over 160 mobile network operator customers, before it was acquired by Citrix Systems in 2012. At Bytemobile he served on the BOD and was the CTO, responsible for all products (establishing and leading development teams in four sites), expansion strategy, M&A, go-to-market planning and led sales in several strategic accounts. Among his many innovations were the first streaming video optimization platform, deployed in more than 100 operator networks world-wide, novel analytics solutions, and a framework that enabled Bytemobile to optimize encrypted traffic. Before founding Bytemobile he was Professor of Electrical and Computer Engineering at the University of Illinois at Urbana-Champaign, and director of the Center for Supercomputing R&D, where he directed the research of more than 70 PhD and MS students, and conducted research that produced novel solutions for compilers, operating systems and networking protocols, including the first cloud computing platform in 1999, the Computational Network Federations. Dr. Polychronopoulos’ research results have been used in commercial software and hardware systems by Intel, Cray, Silicon Graphics, Convex, HP, and other high performance software and networking system vendors.

He holds 10 patents and has published more than 160 research papers on multithreading compilers, OS, distributed and cloud computing, wireless networks and mobile computing. Seven of his publications have received “Best Paper” awards at ACM and IEEE conferences.  He has consulted extensively for many software and hardware companies including Intel, IBM, Silicon Graphics, HP, Kubota, NKK etc.

Dr. Polychronopoulos has received various awards and recognitions including the 1989 National Science Foundation Presidential Young Investigator Award by President George Bush, the 1998 Bodossaki Foundation Award in Engineering, and was named a Pascal Chair at the University of Leiden in 2000 and a Fijitsu Endowed Professor at the University of Tokyo in 1992. In 2015 he was named one of the 50 innovators of the Computer Science Dept. of the University of Illinois, and in 2010 was named among the “Power 50” in wireless industry by Wireless Today magazine in the UK.

He received his PhD in Computer Science from the University of Illinois, his MS in Computer Science from Vanderbilt University and his BSc in Math/CS from the University of Athens.

",vmware,qxriqfhypeuyosqwritt,fb1e0239-94df-a94c-56d9-28956a629ed9,organization,VMware,male
49d4b7cc-dc97-71d3-3c67-1d3b9662acd9,Jean-Philippe Barleaza,jean-philippe-barleaza,v1460610960/afxnpdbxh1ecme3q4any.jpg,49d4b7cc-dc97-71d3-3c67-1d3b9662acd9,person,Jean-Philippe Barleaza,"EMEA Vice-President Mid-Market, Channel & Cloud Providers","Jean-Philippe Barleaza is a EMEA Senior Director OEM, SI SO & Service Providers at VMware.",vmware,qxriqfhypeuyosqwritt,fb1e0239-94df-a94c-56d9-28956a629ed9,organization,VMware,male
6c0198bf-eaf1-4156-d7d3-ff24c48a82d7,Umesh Mahajan,umesh-mahajan,v1429798943/riiyugxeg8mpy2srgcce.png,6c0198bf-eaf1-4156-d7d3-ff24c48a82d7,person,Umesh Mahajan,"SVP, GM NSX Networking and Security (SDN)","A seasoned executive and entrepreneur with 25+ years of experience in tech industry, Umesh has helped develop the vision, strategy, and execution plan for several innovative technology products.  Before co-founding Avi Networks, Umesh was the Vice President / General Manager for a $2B Data Center switching business at Cisco where he led engineering, product management, marketing and operations for Nexus 7000, MDS switching products, and the NX-OS operating system.  

Prior to his work at Cisco, Umesh led the software team at Andiamo in architecting and delivering SAN-OS.  Umesh has a Master of Science degree in computer science from Duke, a Bachelor of Science degree from IIT Delhi, and has 29 patents to date.",vmware,qxriqfhypeuyosqwritt,fb1e0239-94df-a94c-56d9-28956a629ed9,organization,VMware,male
428e83ac-2446-0cb3-5dfb-1d8d69b0597f,Paul Dul,paul-dul,v1397183111/19394bbbfe7a63c4190c67a09d0102ef.jpg,428e83ac-2446-0cb3-5dfb-1d8d69b0597f,person,Paul Dul,VP Product Management - Cloud Native Applications,,vmware,qxriqfhypeuyosqwritt,fb1e0239-94df-a94c-56d9-28956a629ed9,organization,VMware,male
ad63f22f-81ff-1d59-b119-6c7db53d1532,Manish Bhuptani,manish-bhuptani,v1444538544/mqifubshpw8isxqty1gn.jpg,ad63f22f-81ff-1d59-b119-6c7db53d1532,person,Manish Bhuptani,"Head of Operations & Chief of Staff to General Manager, Cloud Subscription Business","Manish Bhuptani is a Director, Cloud Programs and Alliances at VMware.",vmware,qxriqfhypeuyosqwritt,fb1e0239-94df-a94c-56d9-28956a629ed9,organization,VMware,male
dbb29447-d5d8-4802-9449-bc38b6e2f11a,Alex Tosheff,alex-tosheff,fydlyrwra6ub3uve3mjb,dbb29447-d5d8-4802-9449-bc38b6e2f11a,person,Alex Tosheff,"VP, Chief Security Officer",,vmware,qxriqfhypeuyosqwritt,fb1e0239-94df-a94c-56d9-28956a629ed9,organization,VMware,male
